"participant_id","session_id","age","gender","education","employment","condition","interest","load","created_at","assigned_category","selected_product","PAAS_Score","PIES_AC","NRQ_ICL_Score","NRQ_ECL_Score","NRQ_Score","PIES_Score","ECM_CI_Score","ECM_S_Score","ECM_PU_Score","ECM_Score","total_hovertime_ms","n_hovers","mean_hovertime_ms","median_hovertime_ms","sd_hovertime_ms","total_hovertime_s","mean_hovertime_s","median_hovertime_s","sd_hovertime_s","n_events","submovements","trial_duration_ms","trial_duration_s","submovements_per_s","mean_submovement_deviation","total_distance_norm","max_velocity_norm_s","min_velocity_norm_s","mean_velocity_norm_s","std_velocity_norm_s","n_steps"
"21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46","6f8f1632-fc99-4cd6-85de-6d77cd493874",34,"Male","Master's Degree","Full-Time","LIHL","Low","High",2025-12-04 14:24:06.880593,"Backpack","Kapten & Son Helsinki Pro",2,5,2,4,3.2,4.18181818181818,5.66666666666667,6,5.75,5.81818181818182,46053,19,2423.84210526316,1033,2878.69359380562,46.053,2.42384210526316,1.033,2.87869359380562,1244,22,49806,49.806,0.44171384973698,1.47281804788452,31.0950657330519,51.7018686411396,0,0.630567580939338,3.10292579366922,1243
"23242b4f-c591-42a9-98cd-e26b42ba18ad","901361b0-ae4e-42ac-9c6c-06d6b395fe6e",26,"Male","Master's Degree","Working-Student / Temporary","LIHL","Low","High",2025-12-02 16:01:03.288525,"Detergent","Denk mit – Ultra Sensitive",5,5,4,4.33333333333333,4.2,3.90909090909091,6,6,5,5.63636363636364,28082,38,739,533.5,902.462307365918,28.082,0.739,0.5335,0.902462307365918,504,28,30464,30.464,0.919117647058824,4.13190809639258,69.0828730775842,51.6014924251745,0,2.29695719838344,5.87139744906145,503
"241ca21f-0214-47fa-933c-b2c656f1819d","cc068684-3570-4674-8df9-fd78509f755e",63,"Male","FH-Diplomabschluss","Self-employed","LIHL","Low","High",2025-12-09 13:03:09.215946,"Backpack","Patagonia Black Hole Micro",3,5,3,5.33333333333333,4.4,3.63636363636364,6.33333333333333,6,6,6.09090909090909,163646,41,3991.36585365854,1616,6456.36133110631,163.646,3.99136585365854,1.616,6.45636133110631,3602,77,167917,167.917,0.458559883752092,1.71662561744649,99.3925145826564,48.2830284176118,0,0.588364853035171,2.10754078108699,3601
"2a788a65-9288-433d-8ecb-788fe69b57cd","3e05d04d-3487-4426-8079-827f77c7778f",26,"Female","Bachelor's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-08 12:28:02.770817,"Electric Toothbrush","Oral-B iO Series 5",6,5,5.5,1.33333333333333,3,4.63636363636364,6,6,7,6.36363636363636,55596,31,1793.41935483871,734,2724.77064201978,55.596,1.79341935483871,0.734,2.72477064201978,1479,30,59276,59.276,0.506107024765504,2.05361170393778,77.0030616747534,71.7734872689605,0,1.30524167121161,5.65860937871188,1478
"2b5fd31a-dc2d-4c05-95ff-75759c2649bf","920d0d1c-6367-43f8-9577-804bd4579f92",26,"Female","Bachelor's Degree","Working-Student / Temporary","LILL","Low","Low",2026-01-04 15:33:07.220536,"Detergent","Weißer Riese",2,5,3.5,3.33333333333333,3.4,2.45454545454545,6,5.25,4.75,5.27272727272727,17766,12,1480.5,250,1966.18747372121,17.766,1.4805,0.25,1.96618747372121,557,12,22556,22.556,0.532009221493173,1.2219216318541,28.5441340131371,58.4511317116679,0,1.28136485235042,5.03325277134545,556
"2c25fe81-e77f-42e9-a479-03b5afe3458f","642f7c04-6ed4-411a-8c12-c44d1ef19caa",28,"Male","Bachelor's Degree","Self-employed","LILL","Low","Low",2025-12-23 10:13:59.297173,"Detergent","Denk mit – Ultra Sensitive",2,5,2.5,2.33333333333333,2.4,2.36363636363636,4,4.75,4,4.27272727272727,26736,7,3819.42857142857,1032,6468.10409772814,26.736,3.81942857142857,1.032,6.46810409772814,716,15,29044,29.044,0.516457788183446,1.89188140148487,19.8728294613984,58.8823377745736,0,0.640585881479759,3.32230138929629,715
"2dc94996-ea7a-44cc-be3b-0bbd7ec42803","9312cfcb-5ccd-4fea-9a80-f14027732f7a",26,"Male","Master's Degree","Full-Time","HILL","High","Low",2025-12-03 10:32:23.73558,"Water Bottle","Spottle Glass Bottle",4,5,3.5,2.66666666666667,3,2.72727272727273,5.33333333333333,5,5,5.09090909090909,58022,19,3053.78947368421,2866,3166.75192129004,58.022,3.05378947368421,2.866,3.16675192129004,1507,20,60474,60.474,0.33072064027516,1.39947347963879,44.7687538155648,84.5255835447104,0,0.760856327923434,4.6949216573627,1506
"2f307df5-73a6-4ad9-95a1-c6498d36592c","04468f7b-130a-4ac3-8bec-d18daf1a4875",27,"Male","Master's Degree","Full-Time","LIHL","Low","High",2025-12-31 20:07:11.833523,"Detergent","Denk mit – Ultra Sensitive",4,5,2,1.66666666666667,1.8,3,6,5,5,5.27272727272727,14131,10,1413.1,909.5,1899.29024462648,14.131,1.4131,0.9095,1.89929024462648,418,4,25694,25.694,0.155678368490698,1,9.18239088348863,72.3919186178576,0,0.352325496364227,4.83094570892558,417
"302cd5a0-6497-4343-9fd1-2ec4452aa871","d287f848-c1dd-41a4-8cb1-dc6e4da4cd23",25,"Male","PhD","Full-Time","LIHL","Low","High",2025-12-05 05:36:48.021215,"Detergent","Weißer Riese",3,5,2,3.66666666666667,3,2.72727272727273,4.66666666666667,4,2.5,3.63636363636364,52533,24,2188.875,1685.5,1897.45603861546,52.533,2.188875,1.6855,1.89745603861546,1381,36,55421,55.421,0.649573266451345,1.52047672965484,53.0947427424886,47.8825262151291,0,0.975616665724312,3.76375224619662,1380
"323f6fc6-61e4-4046-aef4-847a1bec0563","85ce805e-978b-45cc-a342-8710ede12f4b",25,"Female","Master's Degree","Prefer not to say","LILL","Low","Low",2025-12-18 16:12:31.907327,"Smartwatch","Apple Watch Series 11",4,5,5,3,3.8,3.18181818181818,4,3.75,4.25,4,55988,14,3999.14285714286,2175,4816.83719814222,55.988,3.99914285714286,2.175,4.81683719814222,1489,17,60558,60.558,0.280722613032134,1.37121428448233,37.4399660295636,58.3758774710601,0,0.599689560385852,3.14683682525721,1488
"35e66184-3e42-45f7-bf6a-5d675bcac6da","53052eb5-5f4d-4d76-bf12-47e14aab1366",25,"Female","Bachelor's Degree","Working-Student / Temporary","HILL","High","Low",2025-11-28 11:25:37.957511,"Backpack","Kapten & Son Helsinki Pro",4,5,3,2,2.4,4.27272727272727,6,5.25,6.25,5.81818181818182,50908,23,2213.39130434783,2250,2056.60995858212,50.908,2.21339130434783,2.25,2.05660995858212,1466,30,58765,58.765,0.510507955415639,2.10413481360832,50.3988374587632,51.1949676151029,0,0.863256183860293,2.91948909989212,1465
"3f225600-a051-470e-933a-a9a60cdc22da","df45b8aa-57e9-49f5-b485-0eb662b39a4c",32,"Female","Bachelor's Degree","Full-Time","LILL","Low","Low",2026-01-05 13:43:51.417089,"Water Bottle","720° DGREE noLimit Bottle",5,5,3,1,1.8,3.18181818181818,6.33333333333333,7,7,6.81818181818182,61975,21,2951.19047619048,2199,3975.9305781043,61.975,2.95119047619048,2.199,3.9759305781043,2094,40,83757,83.757,0.477572023830844,1.81494621823705,57.1316489231411,42.9979391185406,0,0.663021741058127,2.95881533435853,2093
"41d30187-dfd3-43cd-8504-1e8c11db983d","cc9146a3-2aa3-4309-a7b5-b9c29b926428",25,"Female","Master's Degree","Working-Student / Temporary","LIHL","Low","High",2025-12-02 17:50:34.863075,"Detergent","Ecover Eco",4,5,2,1.66666666666667,1.8,2.81818181818182,5,5.25,5,5.09090909090909,16350,15,1090,1067,710.185690003477,16.35,1.09,1.067,0.710185690003477,716,10,29521,29.521,0.338741912536838,2.66080519870192,20.0756489456418,63.0814115654476,0,0.689175714020099,3.46859044424206,715
"43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8","71e42c2f-760b-4add-81a3-bf47eb6d03de",66,"Female","Secondary School (Real- oder Hauptschulabschulabschluss)","Retired","LILL","Low","Low",2026-01-04 11:00:13.788376,"Smartwatch","Withings ScanWatch 2",3,5,6,4.66666666666667,5.2,3.90909090909091,6.33333333333333,4.25,7,5.81818181818182,73790,26,2838.07692307692,693,6010.38933130344,73.79,2.83807692307692,0.693,6.01038933130344,1761,34,90004,90.004,0.377760988400516,1.66971576274545,64.2668989111397,49.4813291962575,0,0.680667407120361,2.51990464510008,1760
"44c59528-60b4-4714-bbce-2bf537e97e56","b706e323-787a-4ef8-b369-55482871961f",66,"Male","Master's Degree","Retired","HILL","High","Low",2025-12-05 14:22:15.71926,"Detergent","Ariel All-in-1 Pods",3,5,2,1.33333333333333,1.6,2.90909090909091,6,4.25,4.25,4.72727272727273,50862,28,1816.5,1034,2896.8930802704,50.862,1.8165,1.034,2.8968930802704,1129,23,54028,54.028,0.425705189901533,1.82619855335531,56.0152778548714,45.0243181634811,0,1.03896199193517,4.00984947254513,1128
"458e3744-4439-4fdc-826c-5dc2212959b0","e69f5a0e-b81e-4f0c-930a-24b5dd6f8ca6",23,"Female","Master's Degree","Working-Student / Temporary","HIHL","High","High",2025-12-16 11:11:18.517913,"Smartwatch","Apple Watch Series 11",1,5,1,1,1,4.54545454545455,6.33333333333333,4.75,6,5.63636363636364,11484,5,2296.8,384,3237.98590176054,11.484,2.2968,0.384,3.23798590176054,422,7,17419,17.419,0.401860037889661,1.21143895055992,17.787856531555,53.7584250253113,0,1.06361901814327,5.01704884784211,421
"4a16ecf4-0324-4baf-a38f-1ea98ce73fc3","9c0b75f0-c77e-4df0-a953-cce5d9635dfa",26,"Female","Master's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-12 10:00:26.755956,"Smartwatch","Apple Watch Series 11",5,5,4,3.66666666666667,3.8,3.09090909090909,4.33333333333333,4.25,5,4.54545454545455,9191,4,2297.75,1178.5,3188.13920388262,9.191,2.29775,1.1785,3.18813920388262,323,3,13560,13.56,0.221238938053097,1.04847576021897,6.39175739506258,102.9595215085,0,0.488002658160601,6.3572220990049,322
"4aa8ea4c-b876-4599-a707-1bad68e2ac47","b82be074-d42b-469c-8162-8ecd69a43c18",27,"Female","Bachelor's Degree","Full-Time","HIHL","High","High",2025-12-12 08:25:00.36094,"Detergent","Denk mit – Ultra Sensitive",4,5,3,1,1.8,3.72727272727273,6.66666666666667,5.25,4.25,5.27272727272727,71497,19,3763,1000,5783.42121931301,71.497,3.763,1,5.78342121931301,2088,26,83531,83.531,0.311261687277777,1.74750713063503,58.3449329043584,71.202955610867,0,0.713652600554718,4.17579958448384,2087
"4b7264c1-03ae-4401-ae7b-3d5418e244fa","137c7932-d0e4-435d-862d-268edffea572",25,"Female","Master's Degree","Full-Time","HIHL","High","High",2025-12-07 13:05:40.093513,"Smartwatch","Garmin Venu 4",6,5,4.5,1.66666666666667,2.8,4.45454545454545,7,6,7,6.63636363636364,28246,10,2824.6,1916.5,2261.96017255438,28.246,2.8246,1.9165,2.26196017255438,1159,17,47368,47.368,0.358892079040703,1.35212504770614,32.4435384361957,51.1501072077649,0,0.686757432416762,3.34978948757493,1158
"4b735901-9e3e-43de-8dd8-54e74dcf0910","d2fb7dee-0c44-44be-bb88-8c362e290690",29,"Female","Master's Degree","Full-Time","LIHL","Low","High",2025-12-04 12:28:00.325901,"Water Bottle","24 Bottles - Clima Bottle",7,5,6.5,6,6.2,3.63636363636364,4.33333333333333,5,5,4.81818181818182,30810,10,3081,1602.5,3018.12285295936,30.81,3.081,1.6025,3.01812285295936,1052,14,42049,42.049,0.332944897619444,1.4868559609888,37.5782787187198,130.021806155879,0,0.886054418227886,6.22471676559238,1051
"4b8b5d28-8ca9-4b2d-be09-796cd60ff22f","50cc759c-ea1f-4b6b-bfc0-7c322203f591",26,"Male","Bachelor's Degree","Working-Student / Temporary","LIHL","Low","High",2025-11-30 13:35:58.951588,"Detergent","Denk mit – Ultra Sensitive",2,5,2,4.33333333333333,3.4,1.54545454545455,6,4,4.25,4.63636363636364,1736,3,578.666666666667,638,496.665212525835,1.736,0.578666666666667,0.638,0.496665212525836,76,2,3361,3.361,0.59506099375186,1.14492852135401,7.26035121315319,62.0539639704382,0,2.0852783180067,7.87502897517433,75
"50af3813-4730-4b8e-b200-16ba76811d68","d0570796-c809-422d-ac86-8ad5a2f76898",23,"Female","A-Levels (Allgemeine Hochschulreife)","Full-Time","HIHL","High","High",2025-12-06 13:13:34.746116,"Electric Toothbrush","Oral-B Pro Series 3 (3500)",2,1,1.5,2.66666666666667,2.2,4.18181818181818,5.66666666666667,5,6,5.54545454545455,14340,4,3585,1332,5215.2527583362,14.34,3.585,1.332,5.2152527583362,404,7,16479,16.479,0.424783057224346,1.21480406949294,16.4346247339284,53.8466707606288,0,1.02289398981646,4.92881729901615,403
"50cb55ec-c55f-4275-b3f8-a119e6ae6ef1","f11400ce-ba5d-44fc-a2b3-927c243770f4",25,"Female","Bachelor's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-22 18:24:19.952629,"Speaker","JBL Charge 5",3,5,4.5,3.66666666666667,4,4,6,5,5,5.27272727272727,122914,32,3841.0625,1114,6312.5276310478,122.914,3.8410625,1.114,6.3125276310478,3277,37,142098,142.098,0.260383678869513,1.88864849093694,80.7873945465571,151.558196639077,0,0.605531984625531,4.12651409028717,3276
"51381787-c3a4-4a69-a44d-0750124ee2ad","05764de8-c886-4fe9-bcaf-313de86f3c97",29,"Female","Master's Degree","Full-Time","HIHL","High","High",2025-11-29 11:38:09.810689,"Backpack","Kapten & Son Helsinki Pro",6,5,3.5,3,3.2,4.45454545454545,6.33333333333333,5.25,6,5.81818181818182,237638,108,2200.35185185185,782,3424.73888305362,237.638,2.20035185185185,0.782,3.42473888305362,7809,127,312600,312.6,0.406269993602047,2.42203809770728,276.690379375018,105.271729665137,0,0.898128211085691,4.03329711160653,7808
"51c72b18-d63d-4293-a20a-58955ea921f9","ec042234-bf98-4ffb-b267-e13342adcbef",30,"Male","Bachelor's Degree","Working-Student / Temporary","HIHL","High","High",2025-12-02 14:45:09.117195,"Speaker","B&O Beosound Explore",5,5,1,2,1.6,4.18181818181818,6,7,6,6.36363636363636,1070,3,356.666666666667,179,377.298732218031,1.07,0.356666666666667,0.179,0.377298732218031,475,4,19630,19.63,0.203769740193581,2.28601008090461,9.42258750255309,50.2614630489265,0,0.487741367418109,3.08662411240058,474
"51eeb71d-7fb3-47dc-ae2a-00e20701fa68","00401c88-df99-482c-b197-8caff443ec06",25,"Male","Bachelor's Degree","Working-Student / Temporary","HILL","High","Low",2025-12-02 20:45:20.932931,"Speaker","Sonos Era 100",6,5,4.5,5.33333333333333,5,5,5.66666666666667,7,5,5.90909090909091,51758,28,1848.5,1023,2363.4339972293,51.758,1.8485,1.023,2.3634339972293,2643,12,108204,108.204,0.110901630253965,6.10383886621183,15.4608932181266,138.816771400129,0,0.144216849359074,3.50333191527808,2642
"5dea9317-cab2-4546-bc93-eb063052932c","dfe62a65-7ec0-490d-b104-d9fc629f9eb7",59,"Female","Master's Degree","Part-Time","HILL","High","Low",2025-12-13 07:02:21.861904,"Backpack","Kapten & Son Helsinki Pro",5,5,4.5,4,4.2,4.81818181818182,5.33333333333333,5.5,6.25,5.72727272727273,1369,14,97.7857142857143,86.5,37.9172754851899,1.369,0.0977857142857143,0.0865,0.0379172754851899,1528,9,61466,61.466,0.14642241239059,1,18.356402291383,124.216917923596,0,0.292972953094295,4.83870550474502,1527
"5e38168c-c307-4cd5-a939-b94dca4a69e1","b9a10a5d-2ff2-4928-8404-1701a2f65e95",31,"Male","Master's Degree","Full-Time","HIHL","High","High",2025-12-19 18:32:47.972401,"Speaker","JBL Charge 5",3,5,3,1.66666666666667,2.2,4.36363636363636,7,7,4.75,6.18181818181818,72151,15,4810.06666666667,600,9958.62188161356,72.151,4.81006666666667,0.6,9.95862188161356,1885,29,75706,75.706,0.383060787784324,3.05519055614891,48.1713680553022,55.7002314814815,0,0.633827300326115,2.89601061336219,1884
"65b68a45-2b10-49f3-8a4a-8315ef68f969","eb6f509a-020e-42f6-9644-a8208e915f89",28,"Female","Bachelor's Degree","Full-Time","HILL","High","Low",2025-12-06 19:22:33.007267,"Smartwatch","Apple Watch Series 11",4,5,2.5,2.66666666666667,2.6,4.54545454545455,6,6.25,6.25,6.18181818181818,32110,8,4013.75,788.5,7470.45737268762,32.11,4.01375,0.7885,7.47045737268762,850,9,34278,34.278,0.262559075792053,1.63796447215614,16.6780411031007,70.8225842714255,0,0.495841682892087,3.35906974731744,849
"676840dc-d964-41e5-ad5b-dba3ca8f0208","cc91c864-e9f4-48d1-8bcc-883c1dd1d607",26,"Male","Vocational Training (Ausbildung/Berufskolleg)","Working-Student / Temporary","HIHL","High","High",2025-12-28 11:37:29.961152,"Backpack","AEVOR Trip Pack",4,5,1,1,1,4.18181818181818,5,7,7,6.45454545454545,641,11,58.2727272727273,51,21.9776746226297,0.641,0.0582727272727273,0.051,0.0219776746226297,458,4,18724,18.724,0.21362956633198,1,8.25924833344282,118.144151951114,0,0.383652641219054,5.7613021972273,457
"68ec06a0-df0b-4061-bbee-6731a0867c41","b46534ba-6c3e-41f1-9170-3fdecef05df6",32,"Male","Bachelor's Degree","Full-Time","HIHL","High","High",2025-12-05 13:46:57.054766,"Backpack","The North Face Base Camp",3,5,4.5,3.33333333333333,3.8,4.63636363636364,5.33333333333333,6,7,6.18181818181818,36645,24,1526.875,755,1829.6600851453,36.645,1.526875,0.755,1.8296600851453,1200,30,48009,48.009,0.624882834468537,2.64534665340674,47.7867164018619,54.3585596389208,0,0.999031978605985,3.3736698551898,1199
