participant_id,n_events,events_per_s,submovements,trial_duration_ms,trial_duration_s,submovements_per_s,mean_submovement_deviation
51381787-c3a4-4a69-a44d-0750124ee2ad,7809,24.98080614203455,127,312600.0,312.6,0.4062699936020473,2.42203809770728
51c72b18-d63d-4293-a20a-58955ea921f9,475,24.197656647987774,4,19630.0,19.63,0.20376974019358127,2.286010080904609
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,2643,24.426084063435734,12,108204.0,108.204,0.11090163025396474,6.1038388662118255
5dea9317-cab2-4546-bc93-eb063052932c,1528,24.85927179253571,9,61466.0,61.466,0.14642241239058992,1.0
5e38168c-c307-4cd5-a939-b94dca4a69e1,1885,24.89895120598103,29,75706.0,75.706,0.38306078778432356,3.05519055614891
65b68a45-2b10-49f3-8a4a-8315ef68f969,850,24.797246047027247,9,34278.0,34.278,0.26255907579205323,1.6379644721561377
676840dc-d964-41e5-ad5b-dba3ca8f0208,458,24.46058534501175,4,18724.0,18.724,0.21362956633198035,1.0
68ec06a0-df0b-4061-bbee-6731a0867c41,1200,24.995313378741486,30,48009.0,48.009,0.6248828344685371,2.645346653406737
6b42fb53-9d79-42ea-b1a9-1432d91cc505,1850,24.342745861733203,32,75998.0,75.998,0.4210637122029527,2.223305994827453
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,1192,24.99056564216529,18,47698.0,47.698,0.37737431338840205,2.0636549330151155
6fde05fb-ad92-4919-a93f-50f610305a99,523,16.427427207337374,9,31837.0,31.837,0.2826899519427082,1.3684211243477609
702af4cc-906d-40b9-aa8d-8e99be992bde,1229,24.964959678238436,13,49229.0,49.229,0.26407199008714377,1.4206960240954647
708db045-62f6-4722-b354-0cd16fac4d4a,817,24.77860002426301,18,32972.0,32.972,0.5459177483925755,1.984097134358583
72068e71-91db-442d-8bcd-be58091a7210,539,24.584929757343552,12,21924.0,21.924,0.5473453749315819,1.7047807840749956
733a2e49-2496-4e7a-8429-aa233d6038e0,584,16.557042413245636,16,35272.0,35.272,0.4536176003628941,1.3341900701636296
76df77f4-c446-4c7b-a4ea-93a0a4804064,793,24.877650897226754,14,31876.0,31.876,0.4392019073911407,2.167156882902683
7d4a763e-d896-4860-93a1-bad23bde6d35,1622,24.94578674582058,33,65021.0,65.021,0.5075283369988157,1.2862005992876426
7e12c6e6-3302-459e-8b4e-6dc42fbc6bea,452,24.676529999454058,14,18317.0,18.317,0.7643173008680461,1.2541698752628323
8020701b-3b7b-4bda-86cf-933fe5466e5a,606,22.327843484027856,26,27141.0,27.141,0.9579602814929443,2.2662574166535827
81fe54b8-48d6-4929-970f-a999e75bb7f1,722,24.470428740891375,10,29505.0,29.505,0.3389256058295204,1.0
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,2312,24.987841124020534,48,92525.0,92.525,0.5187787084571737,3.462018837979989
8aef2386-7368-499e-a2c5-f4b5da726020,588,23.86654219263709,11,24637.0,24.637,0.44648293217518364,2.0204855517007254
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,2078,25.007822466122708,34,83094.0,83.094,0.409175151033769,1.8466076999744423
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,1253,24.926890405236037,18,50267.0,50.267,0.35808781108878585,1.373428387111642
98102009-4760-4c36-822a-0e48ece5d5fb,1302,24.978896477630265,23,52124.0,52.124,0.44125546773079577,1.4982038382902907
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,2251,24.9900084373196,38,90076.0,90.076,0.4218659798392469,1.8078857830098114
9daba0c2-5e80-465c-bbbd-f824d9c24657,940,24.68811556139199,24,38075.0,38.075,0.6303348653972423,1.916571359121496
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,977,24.573670707782078,30,39758.0,39.758,0.7545651189697671,1.3774428836379713
a39dd60a-d5b3-4715-b83c-30600cad5cf3,870,20.210937137016217,16,43046.0,43.046,0.37169539562328674,1.6726118662042349
a3b479f6-0430-44be-a23b-b1e580e826e0,213,23.894996634507518,8,8914.0,8.914,0.8974646623289209,1.252476020238891
a586e2c1-54e8-45ba-963f-6cd8077f1e79,923,24.09481295846712,20,38307.0,38.307,0.5220977889158639,1.3858928566282864
a784408d-72a4-47b5-9e2f-6dac761f9ffd,1023,24.989618193810003,14,40937.0,40.937,0.34198890978821117,1.7788916647969268
a8557488-eb49-4d5f-ae1c-b72363c44416,16432,23.238284338058204,26,707109.0,707.109,0.036769437243762984,1.768134745272638
a941ce89-6cf0-4690-830f-cd35b97730fc,684,16.185135231064102,9,42261.0,42.261,0.21296230567189606,1.0460435543519908
aa394ce7-db73-4ab9-9735-eece7d619911,1074,24.964552195439435,16,43021.0,43.021,0.3719113921108296,1.3312223389680393
ab15ea54-ae59-4532-b89c-ff821a0116c0,319,21.513353115727003,5,14828.0,14.828,0.33719989209603457,1.672690432708981
aee0f8a7-c99c-42ae-94c4-d8ec1569987d,1630,24.907551725191777,33,65442.0,65.442,0.5042633171357844,1.2232851750617244
b73a72b8-9607-4085-9706-7f0f9b926843,1147,21.089210855335736,37,54388.0,54.388,0.6802971243656689,1.582735793514176
