participant_id,total_distance_norm,max_velocity_norm_s,min_velocity_norm_s,mean_velocity_norm_s,std_velocity_norm_s,n_steps
01caf55c-3693-4aa3-bac2-862230173a5e,125.91760141196966,51.886206793811766,0.0,0.6382332221774073,2.932886905285673,4889
01f97700-9c92-4464-9bf8-21132acaa881,49.75931391816094,46.16517654530072,0.0,0.7451446564387698,2.9851975329108256,1423
05bcca80-e838-4ef3-8ba8-39e870310e8f,26.969957833997405,56.39657644181292,0.0,0.5266464084481539,2.916134364721201,1282
09836b97-00f6-47f3-b9aa-c34ad5867121,48.51654520030987,61.207524508999605,0.0,1.0039216788997887,4.438612943865308,1034
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,41.41580148386199,64.2466379136334,0.0,1.293324271719025,4.685088131607515,788
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,25.555861991068156,37.21272281766031,0.0,1.676361774214972,4.246060066323815,382
10e43c6b-430c-47be-8c7e-acfe0fe439b5,25.802599921308968,42.455944712462596,0.0,0.8193570617537572,2.925097313684972,656
125fe34e-d1f0-498a-8fd0-5d0cf21e030d,62.628479720086354,73.10165042887195,0.0,0.9586188811007262,4.473504558266808,1670
15b9dd42-a1f4-43d2-a040-9bfa65d63082,43.808231273974855,45.99597964981852,0.0,0.4125441009985194,2.092159869139487,2602
1826a545-f6f3-47b9-a091-81477ba89250,29.35169093055355,76.85525828219942,0.0,0.6081671379688475,3.312585869185844,1263
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,31.09506573305189,51.70186864113959,0.0,0.6305675809393378,3.102925793669222,1243
23242b4f-c591-42a9-98cd-e26b42ba18ad,69.08287307758424,51.60149242517453,0.0,2.296957198383442,5.871397449061447,503
241ca21f-0214-47fa-933c-b2c656f1819d,99.39251458265635,48.28302841761182,0.0,0.5883648530351713,2.1075407810869877,3601
2a36f61f-3be1-4127-b878-3cc2adc0be75,27.287774176516308,51.72084733163624,0.0,0.6556258189154026,2.2709088846974184,1039
2a788a65-9288-433d-8ecb-788fe69b57cd,77.00306167475343,71.7734872689605,0.0,1.3052416712116146,5.658609378711884,1478
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,28.544134013137082,58.45113171166795,0.0,1.2813648523504155,5.033252771345449,556
2c25fe81-e77f-42e9-a479-03b5afe3458f,19.872829461398435,58.882337774573564,0.0,0.6405858814797595,3.322301389296294,715
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,44.768753815564764,84.52558354471037,0.0,0.7608563279234344,4.694921657362705,1506
2f307df5-73a6-4ad9-95a1-c6498d36592c,9.182390883488628,72.39191861785763,0.0,0.35232549636422666,4.830945708925578,417
302cd5a0-6497-4343-9fd1-2ec4452aa871,53.09474274248864,47.88252621512912,0.0,0.9756166657243123,3.7637522461966166,1380
323f6fc6-61e4-4046-aef4-847a1bec0563,37.43996602956358,58.375877471060114,0.0,0.599689560385852,3.146836825257207,1488
34b28b92-79f6-485d-8575-d6a9fa2384d0,8.623354571834165,140.40866688290393,0.0,0.21247547007508774,4.992349922972838,1006
35e66184-3e42-45f7-bf6a-5d675bcac6da,50.398837458763175,51.194967615102925,0.0,0.863256183860293,2.919489099892117,1465
3d04f793-44fb-481f-99d5-1eb2fb1147e4,33.84139582605185,70.5969682650158,0.0,0.13582173451872,1.280574006550791,6190
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,15.431347042307044,94.77255845421648,0.0,0.27952307342492727,4.369509574123356,1185
3f225600-a051-470e-933a-a9a60cdc22da,57.131648923141064,42.997939118540586,0.0,0.6630217410581266,2.9588153343585257,2093
40dd8dc8-0dfe-4644-a0e4-28121e4e7b42,133.2004868230568,57.646911302194496,0.0,0.6083061103594822,3.316366435736673,5453
41d30187-dfd3-43cd-8504-1e8c11db983d,20.07564894564178,63.08141156544763,0.0,0.6891757140200988,3.468590444242056,715
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,64.26689891113969,49.481329196257455,0.0,0.6806674071203606,2.519904645100085,1760
44c59528-60b4-4714-bbce-2bf537e97e56,56.0152778548714,45.024318163481105,0.0,1.0389619919351694,4.009849472545134,1128
458e3744-4439-4fdc-826c-5dc2212959b0,17.78785653155495,53.7584250253113,0.0,1.0636190181432739,5.017048847842115,421
48c12875-5184-434e-9495-d52cad451850,29.190271608068713,44.443446889934485,0.0,0.6280478180739525,2.2914407682972158,1131
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,6.391757395062584,102.95952150849959,0.0,0.48800265816060134,6.3572220990049,322
4aa8ea4c-b876-4599-a707-1bad68e2ac47,58.34493290435843,71.20295561086702,0.0,0.7136526005547178,4.17579958448384,2087
4b7264c1-03ae-4401-ae7b-3d5418e244fa,32.443538436195745,51.15010720776486,0.0,0.6867574324167625,3.3497894875749266,1158
4b735901-9e3e-43de-8dd8-54e74dcf0910,37.578278718719794,130.02180615587898,0.0,0.8860544182278864,6.224716765592375,1051
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,7.260351213153186,62.05396397043822,0.0,2.0852783180067043,7.875028975174326,75
50af3813-4730-4b8e-b200-16ba76811d68,16.434624733928395,53.84667076062885,0.0,1.0228939898164622,4.928817299016151,403
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,80.78739454655708,151.55819663907707,0.0,0.6055319846255309,4.126514090287171,3276
51381787-c3a4-4a69-a44d-0750124ee2ad,276.6903793750176,105.27172966513672,0.0,0.8981282110856905,4.0332971116065295,7808
51c72b18-d63d-4293-a20a-58955ea921f9,9.422587502553087,50.261463048926544,0.0,0.4877413674181089,3.086624112400584,474
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,15.460893218126621,138.81677140012914,0.0,0.14421684935907425,3.5033319152780784,2642
5dea9317-cab2-4546-bc93-eb063052932c,18.356402291382988,124.21691792359648,0.0,0.29297295309429455,4.838705504745024,1527
5e38168c-c307-4cd5-a939-b94dca4a69e1,48.17136805530222,55.70023148148149,0.0,0.6338273003261147,2.896010613362186,1884
65b68a45-2b10-49f3-8a4a-8315ef68f969,16.678041103100668,70.82258427142546,0.0,0.4958416828920874,3.359069747317439,849
676840dc-d964-41e5-ad5b-dba3ca8f0208,8.259248333442821,118.14415195111366,0.0,0.3836526412190537,5.7613021972273035,457
68ec06a0-df0b-4061-bbee-6731a0867c41,47.786716401861945,54.35855963892078,0.0,0.9990319786059847,3.373669855189796,1199
6b42fb53-9d79-42ea-b1a9-1432d91cc505,72.15499179416376,71.21503047564818,0.0,0.9319305787953273,4.247373709034206,1849
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,36.75747175277374,67.8452494214055,0.0,0.792556678025491,3.485822988989853,1191
6fde05fb-ad92-4919-a93f-50f610305a99,16.585442632912955,29.129576922017094,0.0,0.5298699619148534,2.7997758792433083,522
702af4cc-906d-40b9-aa8d-8e99be992bde,35.44329142862044,96.16225194072292,0.0,0.7122167408155233,3.828106159365004,1228
