participant_id,total_distance_px,max_speed_px_s,min_speed_px_s,mean_speed_px_s,std_speed_px_s,mean_abs_dx,mean_abs_dy,n_steps
01caf55c-3693-4aa3-bac2-862230173a5e,27945.694314067186,12396.939697600052,0.0,141.5639922429856,665.3400394902743,5.09245244426263,1.331969727960728,4889
01f97700-9c92-4464-9bf8-21132acaa881,10452.666357282365,8724.734245483985,0.0,156.6903775407765,620.5770813795567,6.347153900210822,2.4300773014757553,1423
05bcca80-e838-4ef3-8ba8-39e870310e8f,4359.101583576241,7570.708355233346,0.0,85.12756994225605,465.73696142834626,2.9157566302652107,1.3307332293291732,1282
09836b97-00f6-47f3-b9aa-c34ad5867121,10436.882966524909,13197.818746282865,0.0,215.9654146170185,955.9051842921427,8.674081237911025,2.7475822050290137,1034
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,8793.64436314813,15351.373997553565,0.0,274.6511536095637,1066.9843111424125,9.331218274111675,3.469543147208122,788
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,5870.302815565413,8397.804772677202,0.0,385.0605876420544,980.5048993332429,12.109947643979057,6.447643979057592,382
10e43c6b-430c-47be-8c7e-acfe0fe439b5,5113.952430828105,9928.525822094638,0.0,161.67158384413642,617.9253944615162,5.4375,3.8902439024390243,656
15b9dd42-a1f4-43d2-a040-9bfa65d63082,9237.095398572175,8470.721633957759,0.0,86.97432062826219,421.11361662156986,2.937740199846272,1.218293620292083,2602
1826a545-f6f3-47b9-a091-81477ba89250,6210.671875324222,14122.039512761603,0.0,128.15283174374892,675.670486972796,3.973871733966746,1.6825019794140934,1263
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,6637.818584167354,10557.983728352836,0.0,134.58169805458783,656.7224271641605,4.255832662912309,2.264682220434433,1243
23242b4f-c591-42a9-98cd-e26b42ba18ad,11442.236836393793,9214.91615207346,0.0,380.38914637562374,995.7870625850403,17.017892644135188,10.26441351888668,503
241ca21f-0214-47fa-933c-b2c656f1819d,20785.250357302706,9294.097423288626,0.0,122.98571911507871,456.1730249716298,4.720077756178839,2.1133018605942793,3601
2a788a65-9288-433d-8ecb-788fe69b57cd,11498.71792345905,10362.686565114825,0.0,194.95135770506053,861.5080667213742,6.074424898511502,3.4370771312584574,1478
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,4330.720216679236,8059.416475910847,0.0,194.33461423266695,736.7239427000962,5.33453237410072,4.580935251798561,556
2c25fe81-e77f-42e9-a479-03b5afe3458f,3081.901427624248,7511.42018979015,0.0,100.16556896528934,494.3455380879218,3.1986013986013986,1.8797202797202797,715
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,6321.2533693990545,9941.451915141037,0.0,107.01387772397861,658.5316874150237,3.3266932270916336,1.8213811420982735,1506
2f307df5-73a6-4ad9-95a1-c6498d36592c,681.4122900382722,6525.974002772358,0.0,26.418650826890442,387.49321457449116,0.762589928057554,1.3788968824940049,417
302cd5a0-6497-4343-9fd1-2ec4452aa871,9222.568630435282,7145.754085218497,0.0,169.55016175356712,654.9750571354998,5.696376811594203,2.2971014492753623,1380
323f6fc6-61e4-4046-aef4-847a1bec0563,6215.1294430653,7052.587291782944,0.0,99.7678903550883,525.012971356543,3.5329301075268815,1.4993279569892473,1488
34b28b92-79f6-485d-8575-d6a9fa2384d0,725.0665686733871,12119.741127598394,0.0,17.872916399189872,424.277208085307,0.33399602385685884,0.6381709741550696,1006
35e66184-3e42-45f7-bf6a-5d675bcac6da,8646.290569787065,7279.079612148777,0.0,148.07567666787799,497.16146871553616,5.324914675767918,1.3945392491467576,1465
3d04f793-44fb-481f-99d5-1eb2fb1147e4,4977.692799029992,7035.001776829911,0.0,19.981122528045482,168.95631292617654,0.7313408723747981,0.1815831987075929,6190
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,1472.9812556899565,8956.449529008718,0.0,26.272588549423357,415.4631293493084,0.4607594936708861,1.1426160337552742,1185
3f225600-a051-470e-933a-a9a60cdc22da,13085.15180768648,9675.109842921154,0.0,151.7171871186218,686.7747151300784,5.449116101290015,1.9923554706163402,2093
41d30187-dfd3-43cd-8504-1e8c11db983d,2487.731759987563,7625.983543124125,0.0,85.39269482127642,425.8622813966185,2.104895104895105,2.344055944055944,715
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,8076.004120073501,5182.4397493680435,0.0,85.8310699675705,319.92211930284924,3.546590909090909,2.0897727272727273,1760
44c59528-60b4-4714-bbce-2bf537e97e56,10795.43968847154,9640.995006855996,0.0,200.09308287981656,799.8396828266053,7.040780141843972,4.718085106382978,1128
458e3744-4439-4fdc-826c-5dc2212959b0,2804.015387264919,7972.3800001339105,0.0,167.58682241776825,778.0573471574544,5.118764845605701,3.315914489311164,421
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,658.970508648177,10372.852730354156,0.0,50.356960863184995,662.5485078256029,0.43788819875776397,1.9937888198757765,322
4aa8ea4c-b876-4599-a707-1bad68e2ac47,9262.998306508414,11935.946589510793,0.0,113.3440802006818,675.3612863159813,3.7949209391471013,1.57882127455678,2087
4b7264c1-03ae-4401-ae7b-3d5418e244fa,5175.65667897995,7425.967950375224,0.0,109.49792307656969,531.2882738081465,3.1226252158894647,2.215025906735751,1158
4b735901-9e3e-43de-8dd8-54e74dcf0910,8025.914213436198,28873.680961055747,0.0,188.9428655097953,1352.7286134163178,6.819219790675547,2.344433872502379,1051
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,996.0614186816315,7743.545699484184,0.0,278.7111926356849,1007.5524279366996,7.946666666666666,9.893333333333333,75
50af3813-4730-4b8e-b200-16ba76811d68,2737.128619856963,8030.186310179849,0.0,170.25184567388345,796.1149634676736,6.039702233250621,2.4516129032258065,403
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,13315.31553243535,22844.65033176231,0.0,99.81682746054638,670.6888249598907,3.093101343101343,1.9896214896214897,3276
51381787-c3a4-4a69-a44d-0750124ee2ad,40660.76534213805,15189.1431438526,0.0,131.9005497202087,599.7337901765294,4.336577868852459,2.014344262295082,7808
51c72b18-d63d-4293-a20a-58955ea921f9,1388.271731930297,7267.435930230138,0.0,71.79515112599333,445.7465855919484,1.270042194092827,2.289029535864979,474
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,1120.0071124560968,11181.723211020573,0.0,10.451108198415966,286.92330568822666,0.17600302800908402,0.3735806207418622,2642
5dea9317-cab2-4546-bc93-eb063052932c,1992.4983843750942,14955.31367003378,0.0,31.474426115580393,566.6858607732809,0.9947609692206941,0.6620825147347741,1527
5e38168c-c307-4cd5-a939-b94dca4a69e1,7863.436703029255,10694.444444444445,0.0,103.48657188870253,486.37270704940363,2.7717622080679405,2.221868365180467,1884
65b68a45-2b10-49f3-8a4a-8315ef68f969,2404.239103828664,8681.777764781184,0.0,71.25182001382305,465.4867376996203,2.477031802120141,0.9399293286219081,849
676840dc-d964-41e5-ad5b-dba3ca8f0208,901.269013286926,13419.31909598993,0.0,41.523847285789344,653.995091532033,0.3347921225382932,1.9431072210065645,457
68ec06a0-df0b-4061-bbee-6731a0867c41,6867.316142156059,6444.013494504444,0.0,143.70031538661414,485.94365097333764,4.738949124270225,1.9866555462885738,1199
6b42fb53-9d79-42ea-b1a9-1432d91cc505,10638.695497600651,10803.008840133381,0.0,136.93307211027772,628.4000432985683,4.027041644131963,3.1297998918334233,1849
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,5704.114267775224,8760.164634815132,0.0,122.43445281883776,514.002722739892,3.727120067170445,2.197313182199832,1191
6fde05fb-ad92-4919-a93f-50f610305a99,3822.283387758033,6954.7311217315755,0.0,122.13299062024036,654.3617277442463,5.869731800766283,3.1915708812260535,522
702af4cc-906d-40b9-aa8d-8e99be992bde,7535.777486741728,24459.924853826684,0.0,151.26626690282728,894.8080934783529,4.596091205211726,2.9153094462540716,1228
708db045-62f6-4722-b354-0cd16fac4d4a,6874.734786441098,9536.934780106238,0.0,206.12274520730924,820.3422748730329,7.77328431372549,2.1041666666666665,816
733a2e49-2496-4e7a-8429-aa233d6038e0,6366.780865691825,7415.449338299662,0.0,181.9426500475193,735.6285222321654,8.145797598627787,5.5111492281303605,583
76df77f4-c446-4c7b-a4ea-93a0a4804064,5494.566038459481,8930.527714503525,0.0,174.62106947728506,597.8770835745202,6.316919191919192,1.476010101010101,792
7d4a763e-d896-4860-93a1-bad23bde6d35,11351.275861846098,19921.692160193616,0.0,172.61626415441887,900.9568701577609,5.3954349167180755,3.0487353485502777,1621
81fe54b8-48d6-4929-970f-a999e75bb7f1,798.5217102762572,6208.62723588677,0.0,27.021455453993866,352.16213615857714,0.9583911234396671,0.5228848821081831,721
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,18526.01178727982,9196.26282791004,0.0,200.70938080777384,716.0557825410966,6.814366075292082,2.5625270445694506,2311
8aef2386-7368-499e-a2c5-f4b5da726020,4904.874515750033,6519.298275121333,0.0,196.06968057553155,718.086101078045,5.923339011925043,4.333901192504259,587
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,9773.631834705555,9687.592123801118,0.0,116.73903835486601,606.4955487473683,3.7655272026961963,1.7116032739528166,2077
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,3484.4855826034664,6892.859028620031,0.0,70.41950196522205,368.6559305023431,2.1493610223642174,1.273961661341853,1252
98102009-4760-4c36-822a-0e48ece5d5fb,5364.490792658526,9031.628452278137,0.0,103.72006011054415,436.2344219875145,3.3389700230591854,1.6456571867794005,1301
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,14673.100164006955,13856.519223816636,0.0,164.41803736932928,800.9655728031752,5.696888888888889,1.8164444444444445,2250
9daba0c2-5e80-465c-bbbd-f824d9c24657,7332.168796845682,9367.435585108506,0.0,196.2201339055657,720.8012281590882,6.45580404685836,3.336528221512247,939
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,10187.99898315126,8501.582584196387,0.0,260.6759943353495,758.5263254266501,8.131147540983607,3.94672131147541,976
a39dd60a-d5b3-4715-b83c-30600cad5cf3,4696.392407518555,6472.31804380144,0.0,107.9552118332626,487.68966185358084,4.355581127733027,2.1047180667433834,869
a3b479f6-0430-44be-a23b-b1e580e826e0,2577.633310265509,5564.177337616446,0.0,293.9174506394352,868.8946904723241,9.93867924528302,4.731132075471698,212
a586e2c1-54e8-45ba-963f-6cd8077f1e79,4395.975819636458,12421.556362341224,0.0,116.20407825660143,631.247717559193,3.4663774403470717,2.4219088937093276,922
a784408d-72a4-47b5-9e2f-6dac761f9ffd,4115.4554290254355,8021.018307788454,0.0,101.57930421012011,539.9649483303746,2.506849315068493,2.458904109589041,1022
a8557488-eb49-4d5f-ae1c-b72363c44416,6395.101734392489,6782.790723588631,0.0,9.627305130824372,141.72310955902614,0.23425232791674275,0.23060069381048018,16431
a941ce89-6cf0-4690-830f-cd35b97730fc,1629.215574073582,8466.199249535495,0.0,39.68748267067824,486.71511515377847,1.2664714494875549,1.9692532942898975,683
aa394ce7-db73-4ab9-9735-eece7d619911,6241.303613591442,11809.556511571465,0.0,143.5939270281007,778.4825658626835,5.016775396085741,2.1714818266542406,1073
ab15ea54-ae59-4532-b89c-ff821a0116c0,2274.4676863664536,5739.295122801776,0.0,154.3728558966586,651.3485118278752,5.820754716981132,3.3836477987421385,318
b73a72b8-9607-4085-9706-7f0f9b926843,14632.404469569057,9314.398783139899,0.0,268.36830134468346,860.9775417818181,10.431064572425829,5.393542757417103,1146
b9c7d764-2da0-4564-b4d7-914e99573ad0,8761.82280546443,6888.804054534804,0.0,112.14992498161881,531.3705674251826,3.5788177339901477,1.6059113300492611,2030
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,9102.030406914804,15233.394291913166,0.0,276.0437247404241,987.0829125245241,9.47037484885127,3.4969770253929866,827
bc0021f5-8e05-402d-9ce3-a9a63f51f658,13931.506654849016,8973.381716536433,0.0,199.2085921314633,636.0510367083705,7.317899491812535,1.722755505364201,1771
c1b520fe-6dfe-4175-8e0e-12f182397fe6,8729.634596393944,15830.528260295043,0.0,229.60123252883733,963.0195624720392,8.614330874604848,1.7133825079030558,949
d54c2d38-a344-4acc-a58f-98900e4f3d25,5082.8935184738475,7352.654237365688,0.0,311.6063204278334,928.592354123565,11.094594594594595,5.975675675675675,370
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,6343.820894604036,8554.36887289708,0.0,173.2833807576676,683.1894110298972,5.995666305525461,2.436619718309859,923
