participant_id,n_direction_changes,trial_duration_s,n_events,dir_changes_per_s
01caf55c-3693-4aa3-bac2-862230173a5e,23,195.685,4890,0.11753583565424024
01f97700-9c92-4464-9bf8-21132acaa881,11,68.287,1424,0.16108483313075694
05bcca80-e838-4ef3-8ba8-39e870310e8f,1,51.365,1283,0.019468509685583568
09836b97-00f6-47f3-b9aa-c34ad5867121,16,48.05,1035,0.33298647242455776
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,11,31.914,789,0.34467631760355955
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,7,15.612,383,0.44837304637458364
10e43c6b-430c-47be-8c7e-acfe0fe439b5,9,31.428,657,0.286368843069874
125fe34e-d1f0-498a-8fd0-5d0cf21e030d,14,67.072,1671,0.20873091603053434
15b9dd42-a1f4-43d2-a040-9bfa65d63082,15,107.025,2603,0.1401541695865452
1826a545-f6f3-47b9-a091-81477ba89250,1,50.633,1264,0.019749965437560482
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,3,49.806,1244,0.060233706782315384
23242b4f-c591-42a9-98cd-e26b42ba18ad,17,30.464,504,0.5580357142857143
241ca21f-0214-47fa-933c-b2c656f1819d,27,167.917,3602,0.16079372547151272
2a36f61f-3be1-4127-b878-3cc2adc0be75,3,41.595,1040,0.0721240533717995
2a788a65-9288-433d-8ecb-788fe69b57cd,17,59.276,1479,0.2867939807004521
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,2,22.556,557,0.08866820358219542
2c25fe81-e77f-42e9-a479-03b5afe3458f,5,29.044,716,0.1721525960611486
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,4,60.474,1507,0.06614412805503192
2f307df5-73a6-4ad9-95a1-c6498d36592c,0,25.694,418,0.0
302cd5a0-6497-4343-9fd1-2ec4452aa871,8,55.421,1381,0.1443496147669656
323f6fc6-61e4-4046-aef4-847a1bec0563,5,60.558,1489,0.08256547442121602
34b28b92-79f6-485d-8575-d6a9fa2384d0,0,41.45,1007,0.0
35e66184-3e42-45f7-bf6a-5d675bcac6da,11,58.765,1466,0.18718625031906747
3d04f793-44fb-481f-99d5-1eb2fb1147e4,10,248.111,6191,0.04030454111264716
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,0,47.599,1186,0.0
3f225600-a051-470e-933a-a9a60cdc22da,19,83.757,2094,0.22684671131965087
40dd8dc8-0dfe-4644-a0e4-28121e4e7b42,30,218.235,5454,0.13746649254244278
41d30187-dfd3-43cd-8504-1e8c11db983d,1,29.521,716,0.033874191253683815
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,17,90.004,1761,0.18888049420025776
44c59528-60b4-4714-bbce-2bf537e97e56,21,54.028,1129,0.3886873473013993
458e3744-4439-4fdc-826c-5dc2212959b0,3,17.419,422,0.1722257305241403
4828aa3f-bcbc-4b53-8555-b01fceb42341,5,8.256,200,0.6056201550387597
48c12875-5184-434e-9495-d52cad451850,1,45.37,1132,0.02204099625303064
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,0,13.56,323,0.0
4aa8ea4c-b876-4599-a707-1bad68e2ac47,13,83.531,2088,0.15563084363888854
4b7264c1-03ae-4401-ae7b-3d5418e244fa,7,47.368,1159,0.14777909136970105
4b735901-9e3e-43de-8dd8-54e74dcf0910,9,42.049,1052,0.21403600561249972
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,0,3.361,76,0.0
50af3813-4730-4b8e-b200-16ba76811d68,4,16.479,404,0.24273317555676924
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,7,142.098,3277,0.0492617770834213
51381787-c3a4-4a69-a44d-0750124ee2ad,28,312.6,7809,0.08957133717210491
51c72b18-d63d-4293-a20a-58955ea921f9,5,19.63,475,0.2547121752419766
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,0,108.204,2643,0.0
5dea9317-cab2-4546-bc93-eb063052932c,0,61.466,1528,0.0
5e38168c-c307-4cd5-a939-b94dca4a69e1,20,75.706,1885,0.2641798536443611
65b68a45-2b10-49f3-8a4a-8315ef68f969,4,34.278,850,0.11669292257424588
676840dc-d964-41e5-ad5b-dba3ca8f0208,0,18.724,458,0.0
68ec06a0-df0b-4061-bbee-6731a0867c41,10,48.009,1200,0.20829427815617904
6b42fb53-9d79-42ea-b1a9-1432d91cc505,5,75.998,1850,0.06579120503171136
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,3,47.698,1192,0.062895718898067
6fde05fb-ad92-4919-a93f-50f610305a99,1,31.837,523,0.03140999466030091
702af4cc-906d-40b9-aa8d-8e99be992bde,9,49.229,1229,0.1828190700603303
708db045-62f6-4722-b354-0cd16fac4d4a,3,32.972,817,0.09098629139876259
72068e71-91db-442d-8bcd-be58091a7210,9,21.924,539,0.41050903119868637
733a2e49-2496-4e7a-8429-aa233d6038e0,5,35.272,584,0.1417555001134044
76df77f4-c446-4c7b-a4ea-93a0a4804064,2,31.876,793,0.06274312962730581
7d4a763e-d896-4860-93a1-bad23bde6d35,6,65.021,1622,0.09227787945433014
7e12c6e6-3302-459e-8b4e-6dc42fbc6bea,4,18.317,452,0.21837637167658458
81fe54b8-48d6-4929-970f-a999e75bb7f1,0,29.505,722,0.0
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,17,92.525,2312,0.18373412591191568
8aef2386-7368-499e-a2c5-f4b5da726020,6,24.637,588,0.24353614482282746
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,11,83.094,2078,0.13238019592268999
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,6,50.267,1253,0.11936260369626195
98102009-4760-4c36-822a-0e48ece5d5fb,17,52.124,1302,0.32614534571406645
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,11,90.076,2251,0.12211909942715042
9daba0c2-5e80-465c-bbbd-f824d9c24657,6,38.075,940,0.15758371634931057
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,13,39.758,977,0.3269782182202324
a39dd60a-d5b3-4715-b83c-30600cad5cf3,9,43.046,870,0.20907866003809877
a3b479f6-0430-44be-a23b-b1e580e826e0,1,8.914,213,0.11218308279111511
a586e2c1-54e8-45ba-963f-6cd8077f1e79,5,38.307,923,0.13052444722896597
a784408d-72a4-47b5-9e2f-6dac761f9ffd,2,40.937,1023,0.04885555854117302
a8557488-eb49-4d5f-ae1c-b72363c44416,15,707.109,16432,0.021213136871401722
a941ce89-6cf0-4690-830f-cd35b97730fc,1,42.261,684,0.023662478407988453
aa394ce7-db73-4ab9-9735-eece7d619911,7,43.021,1074,0.16271123404848795
ab15ea54-ae59-4532-b89c-ff821a0116c0,2,14.828,319,0.1348799568384138
aee0f8a7-c99c-42ae-94c4-d8ec1569987d,10,65.442,1630,0.15280706579872255
b73a72b8-9607-4085-9706-7f0f9b926843,30,54.388,1147,0.5515922629991911
b9c7d764-2da0-4564-b4d7-914e99573ad0,11,81.225,2031,0.13542628501077256
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,17,33.494,828,0.5075535916880636
bc0021f5-8e05-402d-9ce3-a9a63f51f658,15,70.961,1772,0.21138371781682896
c1b520fe-6dfe-4175-8e0e-12f182397fe6,5,38.603,950,0.12952361215449576
ca453e48-2aa7-4fdb-9e93-8837f7729333,3,47.897,1195,0.06263440298974884
d54c2d38-a344-4acc-a58f-98900e4f3d25,1,15.48,371,0.06459948320413436
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,5,37.352,924,0.1338616406082673
dab3e35d-a740-4109-9515-556e82ceb612,2,3.516,83,0.5688282138794084
ded60c6e-ad75-4508-afdf-8caa0efe3410,10,80.719,1210,0.12388656945700517
e0706a41-3231-4374-a546-2d56f686f34c,2,28.546,706,0.0700623554963918
e2de2353-af57-4348-aa6b-a0e7cfb609d1,21,50.804,1268,0.41335327926934884
e3a761b1-e739-49a7-bd95-cf33e2a3813c,5,16.32,406,0.30637254901960786
e4410d18-7cd2-4198-9c4a-67901559288f,6,28.088,694,0.21361435488464825
e4bdced0-2d54-4933-84d0-f3f80c285a06,0,20.416,503,0.0
e61b4eb5-dbda-48c1-b18a-899e7395c612,4,55.213,1377,0.07244670639161067
e8d06654-451d-4d8f-b3f7-dd47d9317828,15,32.977,804,0.45486247991024054
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,22,48.804,1220,0.45078272272764525
eb870660-81e6-42e1-be24-2ca77d82d4ce,6,26.01,636,0.23068050749711647
ec43a56a-d5a9-42a4-98fa-46840df7e093,1,21.323,433,0.046897716081226844
ed69ac01-e271-4d3c-bf27-f6d78d635fe4,0,32.451,576,0.0
ed793ccf-cf9c-4b54-9951-a243e876cc49,2,103.789,2589,0.019269864821898273
f5a43f10-de46-4cf5-bce3-9df18286d3d4,47,49.684,1077,0.9459785846550198
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,17,81.859,2046,0.2076741714411366
f709f384-1ebc-4302-978c-d19289570ee9,9,51.802,1266,0.17373846569630516
f8350255-0cb7-49ec-a1ed-f6d608da537a,10,75.027,1566,0.13328535060711477
f848edac-87b3-458d-8ccc-7759502a11c9,8,31.685,784,0.25248540318762824
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,8,41.768,1020,0.1915341888527102
fc278ad6-5094-4033-8af8-1a9f63a49278,3,19.654,485,0.15264068383026355
fe672941-07cb-4dcc-9668-f50d2d067848,10,65.1,1624,0.15360983102918588
