participant_id,submovements,trial_duration_ms,submovements_per_s,mean_submovement_deviation
01caf55c-3693-4aa3-bac2-862230173a5e,71,195685.0,0.3628280144109155,1.56042908763839
01f97700-9c92-4464-9bf8-21132acaa881,41,68287.0,0.6004071053055486,1.2377584360566771
05bcca80-e838-4ef3-8ba8-39e870310e8f,10,51365.0,0.19468509685583568,1.9382313338191135
09836b97-00f6-47f3-b9aa-c34ad5867121,24,48050.0,0.49947970863683666,2.6854840893770175
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,23,31914.0,0.7206868458983517,1.6609737188201767
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,14,15612.0,0.8967460927491673,1.4939100628904203
10e43c6b-430c-47be-8c7e-acfe0fe439b5,18,31428.0,0.572737686139748,2.080152306986606
15b9dd42-a1f4-43d2-a040-9bfa65d63082,36,107025.0,0.33637000700770847,1.7556156335460251
1826a545-f6f3-47b9-a091-81477ba89250,18,50633.0,0.3554993778760887,3.27512090169766
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,24,49806.0,0.4818696542585231,1.4733004045206777
23242b4f-c591-42a9-98cd-e26b42ba18ad,29,30464.0,0.9519432773109244,4.106815881002041
241ca21f-0214-47fa-933c-b2c656f1819d,81,167917.0,0.48238117641453815,1.6950100608533063
2a788a65-9288-433d-8ecb-788fe69b57cd,30,59276.0,0.5061070247655037,2.0664363914628225
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,12,22556.0,0.5320092214931725,1.2138361450775912
2c25fe81-e77f-42e9-a479-03b5afe3458f,15,29044.0,0.5164577881834458,1.8671732966990329
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,20,60474.0,0.33072064027515957,1.4537916516167204
2f307df5-73a6-4ad9-95a1-c6498d36592c,2,25694.0,0.07783918424534911,1.0
302cd5a0-6497-4343-9fd1-2ec4452aa871,37,55421.0,0.6676169682972158,1.5056058621252342
323f6fc6-61e4-4046-aef4-847a1bec0563,17,60558.0,0.28072261303213447,1.32297477672041
34b28b92-79f6-485d-8575-d6a9fa2384d0,2,41450.0,0.04825090470446321,1.0
35e66184-3e42-45f7-bf6a-5d675bcac6da,31,58765.0,0.5275248872628265,2.164414743610748
3d04f793-44fb-481f-99d5-1eb2fb1147e4,32,248111.0,0.12897453156047092,2.742135900354141
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,6,47599.0,0.1260530683417719,1.0
3f225600-a051-470e-933a-a9a60cdc22da,44,83757.0,0.5253292262139283,1.8932893673113098
41d30187-dfd3-43cd-8504-1e8c11db983d,10,29521.0,0.33874191253683816,2.7269194794057015
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,32,90004.0,0.3555397537887205,1.6908328444192748
44c59528-60b4-4714-bbce-2bf537e97e56,24,54028.0,0.4442141112015992,1.7865734571025744
458e3744-4439-4fdc-826c-5dc2212959b0,7,17419.0,0.4018600378896607,1.1576426616393445
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,2,13560.0,0.14749262536873156,1.0
4aa8ea4c-b876-4599-a707-1bad68e2ac47,26,83531.0,0.3112616872777771,1.749400617090719
4b7264c1-03ae-4401-ae7b-3d5418e244fa,17,47368.0,0.3588920790407026,1.3474111985484984
4b735901-9e3e-43de-8dd8-54e74dcf0910,14,42049.0,0.332944897619444,1.521290484323744
4b8b5d28-8ca9-4b2d-be09-796cd60ff22f,2,3361.0,0.5950609937518595,1.2894067704219192
50af3813-4730-4b8e-b200-16ba76811d68,7,16479.0,0.42478305722434617,1.218858332675384
50cb55ec-c55f-4275-b3f8-a119e6ae6ef1,38,142098.0,0.2674210755957156,1.6709629296405404
51381787-c3a4-4a69-a44d-0750124ee2ad,126,312600.0,0.40307101727447214,2.5305574233241406
51c72b18-d63d-4293-a20a-58955ea921f9,4,19630.0,0.20376974019358127,2.263426064771562
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,4,108204.0,0.036967210084654915,1.0
5dea9317-cab2-4546-bc93-eb063052932c,6,61466.0,0.0976149415937266,1.0
5e38168c-c307-4cd5-a939-b94dca4a69e1,29,75706.0,0.38306078778432356,2.857549033452768
65b68a45-2b10-49f3-8a4a-8315ef68f969,9,34278.0,0.26255907579205323,1.7307818627904985
676840dc-d964-41e5-ad5b-dba3ca8f0208,3,18724.0,0.16022217474898526,1.0
68ec06a0-df0b-4061-bbee-6731a0867c41,31,48009.0,0.645712262284155,2.4645951612521917
6b42fb53-9d79-42ea-b1a9-1432d91cc505,32,75998.0,0.4210637122029527,2.200655158412147
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,18,47698.0,0.37737431338840205,2.027591790319749
6fde05fb-ad92-4919-a93f-50f610305a99,9,31837.0,0.2826899519427082,1.3127623624547782
702af4cc-906d-40b9-aa8d-8e99be992bde,14,49229.0,0.28438522009384715,1.3946922409526141
708db045-62f6-4722-b354-0cd16fac4d4a,18,32972.0,0.5459177483925755,2.0865977641924824
733a2e49-2496-4e7a-8429-aa233d6038e0,17,35272.0,0.481968700385575,1.3164462468196845
76df77f4-c446-4c7b-a4ea-93a0a4804064,14,31876.0,0.4392019073911407,2.1628626819278627
7d4a763e-d896-4860-93a1-bad23bde6d35,33,65021.0,0.5075283369988157,1.2740410167403087
81fe54b8-48d6-4929-970f-a999e75bb7f1,5,29505.0,0.1694628029147602,1.0000073213674447
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,50,92525.0,0.5403944879762226,3.411416576457641
8aef2386-7368-499e-a2c5-f4b5da726020,11,24637.0,0.44648293217518364,1.9693205376954328
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,36,83094.0,0.4332442775651672,1.7004722522219673
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,18,50267.0,0.35808781108878585,1.395589490858061
98102009-4760-4c36-822a-0e48ece5d5fb,22,52124.0,0.4220704473946742,1.6072240966481157
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,39,90076.0,0.43296771615080604,1.8342017412537046
9daba0c2-5e80-465c-bbbd-f824d9c24657,25,38075.0,0.6565988181221273,2.0833422706769755
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,32,39758.0,0.8048694602344182,1.2191257460362155
a39dd60a-d5b3-4715-b83c-30600cad5cf3,16,43046.0,0.37169539562328674,1.779458457204206
a3b479f6-0430-44be-a23b-b1e580e826e0,8,8914.0,0.8974646623289209,1.2811468912109674
a586e2c1-54e8-45ba-963f-6cd8077f1e79,20,38307.0,0.5220977889158639,1.3814989992216962
a784408d-72a4-47b5-9e2f-6dac761f9ffd,15,40937.0,0.3664166890587977,1.8009735120344232
a8557488-eb49-4d5f-ae1c-b72363c44416,26,707109.0,0.036769437243762984,1.7801677782980514
a941ce89-6cf0-4690-830f-cd35b97730fc,7,42261.0,0.16563734885591916,1.0
aa394ce7-db73-4ab9-9735-eece7d619911,16,43021.0,0.3719113921108296,1.327437112968853
ab15ea54-ae59-4532-b89c-ff821a0116c0,5,14828.0,0.33719989209603457,1.6503049268674235
b73a72b8-9607-4085-9706-7f0f9b926843,37,54388.0,0.6802971243656689,1.5140909187320812
b9c7d764-2da0-4564-b4d7-914e99573ad0,33,81225.0,0.40627885503231764,1.5646229945591892
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,22,33494.0,0.6568340598316116,1.5566656597063366
bc0021f5-8e05-402d-9ce3-a9a63f51f658,59,70961.0,0.8314426234128606,2.378626456173407
c1b520fe-6dfe-4175-8e0e-12f182397fe6,23,38603.0,0.5958086159106805,2.1875245913555665
d54c2d38-a344-4acc-a58f-98900e4f3d25,11,15480.0,0.710594315245478,1.6231631007382248
da1fc0bd-2274-48c6-935d-bd4303dfc0a7,21,37352.0,0.5622188905547227,2.1227522028046293
ded60c6e-ad75-4508-afdf-8caa0efe3410,24,80719.0,0.29732776669681243,2.297961863275411
e0706a41-3231-4374-a546-2d56f686f34c,20,28546.0,0.7006235549639179,1.2906273684132936
e2de2353-af57-4348-aa6b-a0e7cfb609d1,38,50804.0,0.7479726005826313,2.0293821382160044
e3a761b1-e739-49a7-bd95-cf33e2a3813c,12,16320.0,0.7352941176470588,1.4602518528542767
e4410d18-7cd2-4198-9c4a-67901559288f,22,28088.0,0.7832526345770435,1.6719973432319872
e4bdced0-2d54-4933-84d0-f3f80c285a06,12,20416.0,0.5877742946708464,3.057649932063796
e8d06654-451d-4d8f-b3f7-dd47d9317828,28,32977.0,0.8490766291657823,1.636745196724002
ea3dc494-f4e6-48c2-813c-6de68d7a45e8,30,48804.0,0.6147037128104254,1.4355243682827021
eb870660-81e6-42e1-be24-2ca77d82d4ce,9,26010.0,0.3460207612456747,1.138548447607303
ec43a56a-d5a9-42a4-98fa-46840df7e093,11,21323.0,0.5158748768934953,1.4845568542988725
ed69ac01-e271-4d3c-bf27-f6d78d635fe4,2,32451.0,0.061631382700070875,1.0
ed793ccf-cf9c-4b54-9951-a243e876cc49,6,103789.0,0.05780959446569482,2.658467592840532
f5a43f10-de46-4cf5-bce3-9df18286d3d4,55,49684.0,1.1069962160856615,2.5133749454083936
f5b5e557-ecf7-4d49-a4b3-1c2cde77ea6f,29,81859.0,0.3542677042231154,2.4974320717167395
f709f384-1ebc-4302-978c-d19289570ee9,15,51802.0,0.2895641094938419,1.3320266965301026
f8350255-0cb7-49ec-a1ed-f6d608da537a,53,75027.0,0.7064123582177083,1.631387419877501
f848edac-87b3-458d-8ccc-7759502a11c9,18,31685.0,0.5680921571721635,1.6526531227161982
f97814c0-fdd1-4911-ae4f-aa1459d6fa5b,23,41768.0,0.5506607929515418,1.8152064162883577
fe672941-07cb-4dcc-9668-f50d2d067848,25,65100.0,0.3840245775729647,2.016392165364926
