participant_id,total_hovertime_ms,n_hovers,mean_hovertime_ms,median_hovertime_ms,sd_hovertime_ms,total_hovertime_s,mean_hovertime_s,median_hovertime_s,sd_hovertime_s
51381787-c3a4-4a69-a44d-0750124ee2ad,237638,108,2200.3518518518517,782.0,3424.738883053616,237.638,2.2003518518518517,0.782,3.424738883053616
51c72b18-d63d-4293-a20a-58955ea921f9,1070,3,356.6666666666667,179.0,377.29873221803086,1.07,0.3566666666666667,0.179,0.37729873221803084
51eeb71d-7fb3-47dc-ae2a-00e20701fa68,51758,28,1848.5,1023.0,2363.4339972292987,51.758,1.8485,1.023,2.363433997229299
5dea9317-cab2-4546-bc93-eb063052932c,1369,14,97.78571428571429,86.5,37.91727548518987,1.369,0.0977857142857143,0.0865,0.03791727548518987
5e38168c-c307-4cd5-a939-b94dca4a69e1,72151,15,4810.066666666667,600.0,9958.621881613559,72.151,4.810066666666667,0.6,9.958621881613558
65b68a45-2b10-49f3-8a4a-8315ef68f969,32110,8,4013.75,788.5,7470.457372687622,32.11,4.01375,0.7885,7.470457372687623
676840dc-d964-41e5-ad5b-dba3ca8f0208,641,11,58.27272727272727,51.0,21.97767462262971,0.641,0.058272727272727275,0.051,0.02197767462262971
68ec06a0-df0b-4061-bbee-6731a0867c41,36645,24,1526.875,755.0,1829.6600851453015,36.645,1.526875,0.755,1.8296600851453015
6b42fb53-9d79-42ea-b1a9-1432d91cc505,58155,30,1938.5,1415.0,2449.390659622976,58.155,1.9385,1.415,2.449390659622976
6c31c25e-c5dd-41fb-b6c9-87bea11b8a8f,43605,18,2422.5,1854.0,2749.342429403374,43.605,2.4225,1.854,2.7493424294033737
6fde05fb-ad92-4919-a93f-50f610305a99,28686,8,3585.75,2934.5,4277.9335047927725,28.686,3.58575,2.9345,4.277933504792773
702af4cc-906d-40b9-aa8d-8e99be992bde,28612,16,1788.25,142.0,3413.931741164919,28.612,1.78825,0.142,3.413931741164919
708db045-62f6-4722-b354-0cd16fac4d4a,30021,15,2001.4,1125.0,3075.962144481904,30.021,2.0014000000000003,1.125,3.075962144481904
733a2e49-2496-4e7a-8429-aa233d6038e0,15478,15,1031.8666666666666,759.0,886.6584031122267,15.478,1.0318666666666665,0.759,0.8866584031122267
76df77f4-c446-4c7b-a4ea-93a0a4804064,29645,13,2280.3846153846152,2016.0,2454.362698626724,29.645,2.2803846153846155,2.016,2.454362698626724
7d4a763e-d896-4860-93a1-bad23bde6d35,53321,24,2221.7083333333335,917.5,3008.9007161964546,53.321,2.2217083333333334,0.9175,3.0089007161964547
81fe54b8-48d6-4929-970f-a999e75bb7f1,1682,27,62.2962962962963,48.0,70.17769468933011,1.682,0.0622962962962963,0.048,0.0701776946893301
82b8fe9e-d03d-4a52-9b6c-867b927e02e1,90619,40,2265.475,1189.5,2643.4557800155153,90.619,2.265475,1.1895,2.643455780015515
8aef2386-7368-499e-a2c5-f4b5da726020,19557,14,1396.9285714285713,781.5,1580.3777281828113,19.557,1.3969285714285713,0.7815,1.5803777281828113
8e0c9b01-b81c-43c8-bb2f-35742dc5b516,56797,30,1893.2333333333333,1066.0,2339.4056080232376,56.797,1.8932333333333333,1.066,2.3394056080232377
97f16cb2-4702-4c1b-9ff8-ec0646a97f40,29452,9,3272.4444444444443,2615.0,2737.879978702094,29.452,3.2724444444444445,2.615,2.737879978702094
98102009-4760-4c36-822a-0e48ece5d5fb,37561,16,2347.5625,663.5,3057.3150305183362,37.561,2.3475625,0.6635,3.0573150305183363
9aeb0915-3140-4f9c-bc4b-6c5e899eb9da,61947,28,2212.3928571428573,957.5,3190.7970946467826,61.947,2.2123928571428575,0.9575,3.1907970946467827
9daba0c2-5e80-465c-bbbd-f824d9c24657,31915,19,1679.7368421052631,1199.0,2153.759344910539,31.915,1.6797368421052632,1.199,2.1537593449105388
a283fcdf-6ba2-4329-8b8a-9bf558c8231a,26217,26,1008.3461538461538,823.0,735.9997794732111,26.217,1.0083461538461538,0.823,0.7359997794732112
a39dd60a-d5b3-4715-b83c-30600cad5cf3,38989,11,3544.4545454545455,691.0,5207.073522884738,38.989,3.5444545454545455,0.691,5.207073522884738
a3b479f6-0430-44be-a23b-b1e580e826e0,6842,6,1140.3333333333333,578.5,1315.879883069373,6.842,1.1403333333333332,0.5785,1.315879883069373
a586e2c1-54e8-45ba-963f-6cd8077f1e79,31100,10,3110.0,2300.0,2959.5460237453085,31.1,3.11,2.3,2.9595460237453084
a784408d-72a4-47b5-9e2f-6dac761f9ffd,38461,8,4807.625,4973.5,4424.52131188061,38.461,4.807625,4.9735,4.42452131188061
a8557488-eb49-4d5f-ae1c-b72363c44416,635271,12,52939.25,1190.0,173495.8758624984,635.271,52.93925,1.19,173.4958758624984
a941ce89-6cf0-4690-830f-cd35b97730fc,21072,13,1620.923076923077,129.0,3252.178409967142,21.072,1.620923076923077,0.129,3.2521784099671422
aa394ce7-db73-4ab9-9735-eece7d619911,39011,15,2600.733333333333,514.0,3754.5435420998665,39.011,2.6007333333333333,0.514,3.7545435420998663
ab15ea54-ae59-4532-b89c-ff821a0116c0,12498,7,1785.4285714285713,1152.0,2173.887520636924,12.498,1.7854285714285714,1.152,2.173887520636924
b73a72b8-9607-4085-9706-7f0f9b926843,29286,30,976.2,491.5,1196.3615933608723,29.286,0.9762000000000001,0.4915,1.1963615933608724
b9c7d764-2da0-4564-b4d7-914e99573ad0,79158,21,3769.4285714285716,2811.0,4250.030677200208,79.158,3.7694285714285716,2.811,4.250030677200208
bad1870e-b99a-4d8e-b4ab-bf544d71d0ec,21167,17,1245.1176470588234,683.0,1238.4226803858678,21.167,1.2451176470588234,0.683,1.2384226803858678
bc0021f5-8e05-402d-9ce3-a9a63f51f658,49366,31,1592.4516129032259,1152.0,1715.5967637862861,49.366,1.5924516129032258,1.152,1.7155967637862861
c1b520fe-6dfe-4175-8e0e-12f182397fe6,26426,18,1468.111111111111,1218.5,1252.308733259771,26.426,1.4681111111111111,1.2185,1.252308733259771
cf397873-6203-4597-88de-171a739c1873,39621,11,3601.909090909091,920.0,5809.934912794557,39.621,3.601909090909091,0.92,5.809934912794557
