participant_id,mean_acc_norm_s2,std_acc_norm_s2,max_acc_norm_s2,min_acc_norm_s2,n_acc_steps
01caf55c-3693-4aa3-bac2-862230173a5e,0.12152018344743533,46.67777097995792,695.709922851521,-744.8260952783995,4888
01f97700-9c92-4464-9bf8-21132acaa881,0.03863721013291585,66.4671412155915,1025.8928121177937,-927.3788024064529,1422
05bcca80-e838-4ef3-8ba8-39e870310e8f,-0.012954211699673783,69.944701636242,1409.9144110453228,-1360.2318143644436,1281
09836b97-00f6-47f3-b9aa-c34ad5867121,-0.6348748869675418,75.89059078232329,810.9316739704456,-1302.28775551063,1033
0c8e7770-1c3e-40d4-af3e-561d63ec9aa3,-0.8369227405507301,103.75474396921,950.1859713683142,-1285.248557899957,787
10bcc14f-7fd9-4646-80bc-7eff4d2e1097,0.14488736595275453,94.95920466451969,930.3180704415076,-704.6846168070176,381
10e43c6b-430c-47be-8c7e-acfe0fe439b5,0.20476641595943076,68.47121331692968,855.4322897217842,-898.3063309321896,655
125fe34e-d1f0-498a-8fd0-5d0cf21e030d,1.1821899119083021,107.13846071317684,2436.7216809623983,-1205.328283737809,1669
15b9dd42-a1f4-43d2-a040-9bfa65d63082,-0.008277906007833064,47.1812936764045,1149.899491245463,-1127.5116816599818,2601
1826a545-f6f3-47b9-a091-81477ba89250,1.414170893764867,113.36553380294123,3074.2103312879763,-1606.2201486103274,1262
21e9b22a-8b1c-4ce7-ab1e-b805e86aaf46,0.4332203198785948,75.41556876429728,1477.1962468897025,-917.6470259220179,1242
23242b4f-c591-42a9-98cd-e26b42ba18ad,0.2358598710529544,94.29143594077559,747.1472947230995,-680.9257156862842,502
241ca21f-0214-47fa-933c-b2c656f1819d,-0.003975874478167519,36.606791621107114,1072.9561870580403,-952.0328865805396,3600
2a788a65-9288-433d-8ecb-788fe69b57cd,0.02311869455756817,125.97927820120555,1840.3458274092434,-1389.7846188196502,1477
2b5fd31a-dc2d-4c05-95ff-75759c2649bf,-0.23600614683946747,111.1497068839986,1301.287821888615,-1262.939272329695,555
2c25fe81-e77f-42e9-a479-03b5afe3458f,0.013271692434304172,91.79759421634124,1509.8035326813736,-1341.4965737518826,714
2dc94996-ea7a-44cc-be3b-0bbd7ec42803,0.7590225613806482,130.25312936043412,2726.6317272487217,-1353.1360604161598,1505
2f307df5-73a6-4ad9-95a1-c6498d36592c,-0.554524711575175,115.97206573359104,1135.9221550480024,-1365.88525694071,416
302cd5a0-6497-4343-9fd1-2ec4452aa871,0.5027365567140056,97.9357512485442,1197.063155378228,-1271.1759367380075,1379
323f6fc6-61e4-4046-aef4-847a1bec0563,-0.2644583308624451,78.80394880429142,1496.8173710528235,-1318.5719654395398,1487
34b28b92-79f6-485d-8575-d6a9fa2384d0,0.04069106350580589,174.61189164713537,3510.216672072598,-3424.60163129034,1005
35e66184-3e42-45f7-bf6a-5d675bcac6da,0.10675158777713274,61.555421561804536,1312.6914773103315,-1076.4779687133803,1464
3d04f793-44fb-481f-99d5-1eb2fb1147e4,-0.050436036385218416,36.368643954552205,1764.924206625395,-1740.898661642808,6189
3e13c82d-da28-4d66-ba9a-2d0a95d8b438,-3.556517891109195,204.25288396797808,2561.4204987626076,-5313.704724324576,1184
3f225600-a051-470e-933a-a9a60cdc22da,-0.36823997020443167,67.58585571904865,844.393009067299,-1240.2022320675953,2092
41d30187-dfd3-43cd-8504-1e8c11db983d,0.42298857509508814,89.50584414729404,1577.0352891361908,-1268.3360603884416,714
43cddaa8-35f1-4dc3-bcdf-fd80d1b7c5a8,-0.04827617498615496,44.384040376889,916.3209110418047,-1052.7942382182437,1759
44c59528-60b4-4714-bbce-2bf537e97e56,0.0033409456651518274,76.45250499688663,957.9642162442789,-760.1754133580713,1127
458e3744-4439-4fdc-826c-5dc2212959b0,0.30103819928430603,122.90107937755644,1378.4211544951615,-1154.8813081190524,420
4a16ecf4-0324-4baf-a38f-1ea98ce73fc3,0.09078117741409601,220.7675932491694,2511.207841670722,-2511.207841670722,321
4aa8ea4c-b876-4599-a707-1bad68e2ac47,0.24401361271128044,94.6153301173784,1415.887857364046,-1191.5236323598197,2086
