"id","session_id","participant_id","task","prod_id","reason","t_enter_ms","t_leave_ms","duration_ms","ts_enter_utc","ts_leave_utc","page_w","page_h"
43,"53052eb5-5f4d-4d76-bf12-47e14aab1366","35e66184-3e42-45f7-bf6a-5d675bcac6da","task-2","bp_pinqponq_purik_cliff","leave",56983,57034,51,2025-11-28 11:27:35.78,2025-11-28 11:27:35.83,1440,812
44,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",28,615,587,2025-11-29 11:45:59.464,2025-11-29 11:46:00.051,1280,715
45,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",2099,2334,235,2025-11-29 11:46:01.535,2025-11-29 11:46:01.769,1280,715
46,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",8987,9005,18,2025-11-29 11:46:08.423,2025-11-29 11:46:08.44,1280,715
47,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",9022,14307,5285,2025-11-29 11:46:08.457,2025-11-29 11:46:13.742,1280,715
48,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",15622,17758,2136,2025-11-29 11:46:15.058,2025-11-29 11:46:17.194,1280,715
49,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",20585,29245,8660,2025-11-29 11:46:20.021,2025-11-29 11:46:28.681,1280,715
50,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_tnf_base_camp_fuse_box","leave",29247,33214,3967,2025-11-29 11:46:28.683,2025-11-29 11:46:32.649,1280,715
51,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",33231,43112,9881,2025-11-29 11:46:32.667,2025-11-29 11:46:42.547,1280,715
52,"05764de8-c886-4fe9-bcaf-313de86f3c97","51381787-c3a4-4a69-a44d-0750124ee2ad","task-2","bp_db_daypack_17l","leave",45062,57744,12682,2025-11-29 11:46:44.497,2025-11-29 11:46:57.18,1280,715
